
Time,T_+ve,T_-ve,Flux,Fluxpos,Fluxneg
742.760,0.658,-0.762,1.056694716e-08,1.417957596e-09,-3.522390e+01
744.021,0.489,-0.603,1.40123808e-08,1.819620396e-09,-4.551518e+01
745.112,0.627,-0.602,1.28225394e-08,1.598292432e-09,-4.007485e+01
746.397,0.474,-0.658,1.339310016e-08,1.755458496e-09,-4.406575e+01
747.556,0.628,-0.685,1.14025428e-08,1.494356292e-09,-3.751621e+01
748.629,0.621,-0.445,1.432826604e-08,1.830166272e-09,-4.593806e+01
749.873,0.631,-0.623,1.181397096e-08,1.567803996e-09,-3.938011e+01
751.191,0.682,-0.688,1.081669248e-08,1.433398032e-09,-3.605334e+01
752.441,0.617,-0.568,1.288671912e-08,1.640521476e-09,-4.130984e+01
753.576,0.573,-0.518,1.386295812e-08,1.786675572e-09,-4.501529e+01
754.836,0.522,-0.686,1.270959228e-08,1.626720876e-09,-4.093671e+01
755.854,0.435,-0.497,1.654009236e-08,2.083433616e-09,-5.235146e+01
757.037,0.616,-0.747,1.121544468e-08,1.43328636e-09,-3.595958e+01
758.091,0.426,-0.438,1.805731488e-08,2.31213312e-09,-5.790266e+01
759.054,0.638,-0.537,1.342790064e-08,1.70151894e-09,-4.251286e+01
760.255,0.493,-0.564,1.477448676e-08,1.903856328e-09,-4.737351e+01
761.349,0.475,-0.601,1.450553544e-08,1.878058512e-09,-4.650560e+01
762.256,0.347,-0.432,2.023353684e-08,2.599954236e-09,-6.403833e+01
763.243,0.588,-0.640,1.28439036e-08,1.659336228e-09,-4.064768e+01
764.460,0.696,-0.629,1.154776392e-08,1.554667488e-09,-3.798630e+01
765.869,0.597,-0.712,1.215860976e-08,1.549905984e-09,-3.799202e+01
767.109,0.757,-0.643,1.082149596e-08,1.456897464e-09,-3.607010e+01
768.446,0.557,-0.580,1.321773156e-08,1.747083888e-09,-4.349089e+01
769.691,0.601,-0.688,1.17771786e-08,1.510983936e-09,-3.776588e+01
771.103,0.784,-0.812,9.41217552e-09,1.219257864e-09,-3.057010e+01
772.527,0.750,-0.639,1.091739528e-08,1.392985836e-09,-3.500011e+01
773.795,0.482,-0.518,1.472350572e-08,1.949287428e-09,-4.907235e+01
774.788,0.560,-0.511,1.41637518e-08,1.802179368e-09,-4.540179e+01
776.167,0.779,-0.819,9.30813048e-09,1.21519332e-09,-3.061937e+01
777.701,0.699,-0.756,1.032101532e-08,1.33035804e-09,-3.351363e+01
779.034,0.535,-0.634,1.301709816e-08,1.656738468e-09,-4.172668e+01
